,,Morphometry,,,,,Density Maps,,,,,,
ds_id,part_id,,max_neurite_length,max_segment_length,max_thickness,max_branch_order,,min_x,min_y,min_z,max_x,max_y,max_z
Bipolar cells,1,,143.656,65.2717,2.95,21,,-51.671,-42.935,-31.275,66.77256338,57.38123944,51.475
Bipolar cells,2,,143.656,65.2717,2.35,20,,-51.671,-37.852,-23.825,36.19638182,42.58423944,51.475
Bipolar cells,3,,109.692,58.309,2.95,18,,-37.673,-42.93453947,-31.275,66.77256338,57.38123944,0.075
V1 Layer 2/3,1,,2608.46,640.638,20.0967,60,,-778.859,-161.296,-913.505,734.806,66.702,379.613
V1 Layer 2/3,2,,2608.46,640.638,20.0967,59,,-778.859,-161.296,-913.505,734.806,66.702,379.613
V1 Layer 2/3,3,,655.975,577.574,20.0378,13,,-248.677,-150.106,-559.998,324.963,40.321,355.527
V1 Layer 4,1,,2346.37,650.013,14.6707,74,,-454.736,-157.322,-590.018,525.238,104.515,437.389
V1 Layer 4,2,,2346.37,650.013,14.587,73,,-454.736,-157.322,-590.018,525.238,104.515,437.389
V1 Layer 4,3,,526.673,448.942,14.6707,7,,-240.188,-122.282,-394.119,222.936,39.046,432.502
V1 Layer 5,1,,3768.19,1646.29,19.9465,119,,-711.603,-218.618,-511.427,1569.072,67.441,641.263
V1 Layer 5,2,,3768.19,1646.29,19.8256,118,,-711.603,-218.618,-511.427,1569.072,67.441,618.733
V1 Layer 5,3,,953.77,438.411,19.9465,18,,-300.551,-175.624,-352.644,276.942,40.368,641.263
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1 = full,,,,,,,,,,,,
,2 = axon,,,,,,,,,,,,
,3 = dendrite,,,,,,,,,,,,
,,,,,,,,,,,,,
,,Persistence,,,,,,,,,,,
,,,filter function,max_birth,min_birth,max_death,min_death,,,,,,
Bipolar cells,,,branch order,21,1,21,0,,,,,,
,,,z-projection,67.75,-29.1,64.1,-26.4,,,,,,
,,,path length,143.66,1.94,133.26,0,,,,,,
,,,radial distance,89.82,1.94,73.95,0,,,,,,
V1 Layer 2/3,,,branch order,60,1,60,0,,,,,,
,,,z-projection,372.72,-909.72,362.05,-762.38,,,,,,
,,,path length,2608.46,10.8,2489.79,0,,,,,,
,,,radial distance,915.82,4.61,763.69,0,,,,,,
V1 Layer 4,,,branch order,74,1,74,0,,,,,,
,,,z-projection,437.1,-590.02,423.35,-522.95,,,,,,
,,,path length,2346.37,2.53,2320.12,0,,,,,,
,,,radial distance,594.94,2.39,562.8,0,,,,,,
V1 Layer 5,,,branch order,119,1,119,0,,,,,,
,,,z-projection,641.07,-511.43,616.78,-490.56,,,,,,
,,,path length,3768.19,7.83,3697.82,0,,,,,,
,,,radial distance,1615.68,5.14,647.9,0,,,,,,
